pertanyaan,jawaban 
jadwal bus trans solo, jam berapa bst berangkat Bus Trans Solo beroperasi pagi hingga malam mulai pukul 05.30 WIB sampai 21.00 WIB untuk semua koridor utama
jadwal keberangkatan bst koridor 1,Koridor 1 BST beroperasi dari pukul 05.30 hingga 21.00 dengan keberangkatan setiap 10–15 menit
jadwal keberangkatan bst koridor 2, Koridor 2 BST melayani rute sepanjang hari dengan jam operasional 05.30–21.00 dan interval sekitar 15 menit
jadwal keberangkatan bst koridor 3, Koridor 3 beroperasi mulai 05.30 pagi melayani rute setiap 10–20 menit hingga pukul 20.30–21.00
berapa menit sekali bst lewat, BST biasanya lewat setiap 10–15 menit pada jam normal dan bisa 20 menit saat malam hari
apa itu bst, Bus Solo Trans adalah layanan angkutan umum berbasis bus rapid transit (BRT) di Kota Solo yang bertujuan memudahkan masyarakat dalam mobilitas
berapa jumlah koridor atau rute yang dimiliki bst, Bus Solo Trans memiliki beberapa koridor/rute salah satunya Koridor 1 (terminal Purwosari – Terminal Banyuanyar)
keunggulan bst, Nyaman aman cepat tarif terjangkau
dimana bisa beli tiket, Loket halte atau aplikasi digital
apakah ada jalur khusus, Ya
siapa yang dapat fasilitas prioritas, Lansia disabilitas ibu hamil anak kecil
jam operasional, Sekitar 05.00–21.00
apakah bus ini ramah lingkungan, Ya menggunakan bahan bakar bersih
harga tiket bst, Rp 3.500–5.000 (sesuai rute)
diskon untuk siapa, Lansia pelajar disabilitas
Cara top up kartu bst, Lewat loket atau aplikasi digital
tarif koridor 1 sama koridor 2, Sama flat rate
bisa pakai qris, Ya di beberapa halte
apakah ada biaya tambahan bagasi, Tidak
apakah bst cocok untuk perjalanan harian, Ya
apakah bst berhenti di halte tertentu saja, Ya bst hanya berhenti di halte tertentu saja
apakah bst aman untuk penumpang, Ya bst dilengkapi pengemudi terlatih dan sistem keamanan
apakah bst bisa digunakan oleh wisatawan, Ya bst dapat digunakan oleh wisatawan untuk berkeliling Kota Solo
apakah bst memiliki pendingin udara, Ya armada bst dilengkapi dengan pendingin udara (AC)
bst mulai beroperasi jam berapa pagi, BST mulai beroperasi pada pagi hari sekitar pukul 05.30 WIB
bst berhenti beroperasi jam berapa, BST berhenti beroperasi pada malam hari sekitar pukul 21.00 WIB
bst melayani hari apa saja, BST melayani penumpang setiap hari termasuk akhir pekan dan hari libur
apakah bst beroperasi malam hari, Ya BST tetap beroperasi hingga malam hari sesuai jam operasional
berapa lama waktu tunggu bus bst, Waktu tunggu BST berkisar antara 10–15 menit pada jam normal
bst melayani pelajar dan mahasiswa, Ya BST melayani pelajar dan mahasiswa dengan tarif terjangkau
apakah bst ramah untuk difabel, Ya BST menyediakan fasilitas ramah difabel
bst melayani rute dalam kota saja, BST terutama melayani rute dalam Kota Solo dan sekitarnya
bst dapat digunakan untuk ke pusat kota, Ya BST melayani berbagai rute menuju pusat Kota Solo
apakah bst memiliki jadwal tetap, Ya BST memiliki jadwal operasional dan interval keberangkatan yang teratur
